radius_bin,insol_bin,st_Teff_bin,Source Pipeline,TIC,Full TOI ID,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Uncertainty,Orbital Period Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Alerted,Edited,Stellar Mass,Unnamed: 0,Target,RA,Dec,Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),V mag,J mag,H mag,K mag,Ars,pl_masses,K_amp,TSM,radius_bin,insol_bin,st_Teff_bin,priority,highestp
2,3,1,spoc,54962195.0,663.02,160.0665,-8.5107,11.672,0.04,1543.394099,0.004137,4.698465000000001,0.001207,1.8366049999999998,0.647492,2100.802126,265.83398,9,not a 2x period; so it could be a second planet; low SNR,4.76941,0.347691,2.0,0.502,0.075,2.328341,1.7214619999999998,549.672574,3719.0,64.0,21.574328,7.826296000000001,False,2019-05-07T15:39:33+00:00,2019-10-17 00:41:44.423134+00:00,0.5400640653068858,122.0,54962195.0,160.065852,-8.511083,3664.0,0.512361,0.510139,13.667,10.448,9.828,9.607,19.156281168513754,6.0413449753491015,3.4841910968322485,51.065173465994086,2,3,1,2.0,2
2,3,1,,,K2-3 b,,-1.454787,,,,,10.05449,,,,,,,,,,,0.56,,2.18,,,3896.0,,10.94726427675198,,,,,0.6,,,,,,,,12.17,9.421,,,29.53463329580781,5.4017,2.2536862862973512,51.000175449920796,2,3,1,0.0,0
2,3,1,spoc,55488511.0,557.01,59.0172,-10.272,11.632,0.04,1439.541685,0.002597,3.3454309999999996,0.0006259999999999999,0.989233,0.6237189999999999,1625.246979,219.4038,5,Low SNR; no GAIA radius,4.71022,0.33376,1.0,0.58,0.083,2.400484,3.239027,673.491833,3883.0,65.0,48.623961,8.038872,False,2019-04-03T17:54:53+00:00,2019-10-17 00:41:49.731883+00:00,0.6290770391784367,125.0,55488511.0,59.017813,-10.272008,3841.0,0.5739529999999999,0.566298,13.343,10.405,9.783,9.611,13.91032140196488,6.363007372468513,3.7121572232747257,49.7430475053373,2,3,1,0.0,0
2,3,1,,,K2-240 b,,-17.875217000000003,,,,,6.034,,,,,,,,,,,0.54,,2.0,,,3810.0,,18.81177042584057,,,,,0.58,,,,,,,,13.392000000000001,10.394,,,21.546741635949225,4.6656,2.3605013606812997,35.86614384562601,2,3,1,0.0,0
2,3,1,,,K2-117 c,,10.469130999999999,,,,,5.444017,,,,,,,,,,,0.51,,2.06,,,3778.0,,19.516458583027635,,,,,0.54,,,,,,,,14.655,11.447000000000001,,,20.80031384461178,4.906,2.6940711646617,25.966673783950803,2,3,1,0.0,0
2,3,1,,,K2-43 c,,-3.9754400000000003,,,,,2.198884,,,,,,,,,,,0.54,,2.42,,,3840.6,,75.49163275252813,,,,,0.57,,,,,,,,15.595999999999998,12.422,,,10.929372642927545,6.4512,4.622820314270193,25.560837549575588,2,3,1,0.0,0
2,3,1,,,K2-153 b,,2.020953,,,,,7.51574,,,,,,,,,,,0.53,,2.0,,,3845.0,,14.531183165362101,,,,,0.55,,,,,,,,14.979000000000001,12.023,,,24.968283540728404,4.6656,2.2729627087061313,16.484975010590375,2,3,1,0.0,0
2,3,2,,,HD 97658 b,,25.710384,,,,,9.4909,,,,,,,,,,,0.74,,2.354,,,5175.0,,49.408648293215066,,,,,0.89,,,,,,,,7.71,6.202999999999999,,,24.52820175004119,9.5349,3.11796227427149,133.65119308950756,2,3,2,1.0,1
2,3,2,,,GJ 9827 d,,-1.286273,,,,,6.2014698,,,,,,,,,,,0.6,,2.022,,,4340.0,,36.45440402494437,,,,,0.61,,,,,,,,10.25,7.984,,,20.084033891079656,4.04,1.958455830257024,124.10217469897373,2,3,2,2.0,2
2,3,2,,,Wolf 503 b,,-6.136875,,,,,6.00118,,,,,,,,,,,0.69,,2.03,,,4716.0,,64.68641563287385,,,,,0.69,,,,,,,,10.26,8.324,,,17.80276820120524,4.7852,2.1602582197319298,79.11802058270246,2,3,2,3.0,3
