# TESS Object of Interest
# File Created: 2019-10-29
# Sectors: S0001-S0015
# Date of previous TOI list release: 2019-10-17
Source Pipeline,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Uncertainty,Orbital Period Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Edited
qlp,355637190,293.01,PC,358.154472,-54.468865,11.004000,0.018000,1326.221080,0.000720,0.805460,0.000020,1.189000,0.183000,3080.300000,5.190450,2,V-shaped;,4.130000,0.690000,1,1.450000,0.250000,8.837390,1.546700,2365.000000,5905.000000,456.400000,5194.220000,71.000000,False,3,4,3,3,4,4,4,2018-12-20T19:43:30+00:00,2019-10-17 00:41:41.918009+00:00
spoc,277683130,138.01,PC,328.926194,-61.673286,9.534000,0.018000,1328.058635,0.000797,6.198041,0.000348,2.176782,0.055149,3722.005937,195.500000,1,,4.355820,2.003670,1,1.111190,1.111190,8.294924,8.305693,1031.744158,5722.000000,189.000000,267.799076,0.857179,False,3,4,3,3,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:41.928240+00:00
spoc,289793076,108.01,KP,316.961466,-26.096660,13.096000,0.017000,1328.084864,0.000922,3.043839,0.000202,2.660993,0.073265,24143.222240,570.235170,1,HATS-13,4.521920,0.000000,1,0.890000,0.000000,13.999502,0.329885,1141.284018,5523.000000,0.000000,400.955287,0.820267,False,5,5,5,5,5,5,5,2018-09-05T18:49:20+00:00,2019-10-17 00:41:44.397982+00:00
spoc,266980320,118.01,PC,349.556843,-56.903885,9.154000,0.017000,1329.199631,0.001235,6.036061,0.000637,2.123832,0.099610,1704.034261,56.202583,1,,4.367630,0.270247,1,1.077600,0.128732,4.926376,0.630906,1006.395294,5586.000000,187.000000,242.435041,0.830483,False,3,4,3,3,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:43.672479+00:00
spoc,231663901,101.01,KP,318.736981,-55.871780,12.352000,0.034000,1326.008874,0.000339,1.430401,0.000032,1.638765,0.026081,20452.531680,242.952330,1,WASP-46 b,4.488510,0.000000,1,0.860000,0.000000,13.145008,0.144216,1499.044062,5600.000000,0.000000,1193.379561,0.887868,False,3,4,3,3,4,4,4,2018-09-05T18:49:20+00:00,2019-10-18 15:52:34.879215+00:00
spoc,92352620,107.01,KP,313.783108,-34.135572,9.639000,0.019000,1328.299340,0.000307,3.950054,0.000088,4.557506,0.023461,12999.897180,75.694890,1,WASP-94A (planet host),4.180770,0.000000,1,1.620000,0.000000,18.775574,0.097373,1468.219722,6153.000000,0.000000,1098.209548,0.860200,False,5,5,5,5,5,5,5,2018-09-05T18:49:20+00:00,2019-10-17 00:41:41.077982+00:00
spoc,234994474,134.01,PC,350.031300,-60.065200,9.169000,0.019000,1326.033176,0.001456,1.401461,0.000137,1.264937,0.207902,565.503282,37.851494,1,Level 1 candidate,4.678120,0.063226,1,0.598000,0.018000,1.583888,0.360332,894.914298,3794.000000,69.000000,151.581705,0.823193,False,2,4,1,1,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:40.071802+00:00
spoc,403224672,141.01,PC,338.984609,-59.864489,7.358000,0.018000,1325.538528,0.001209,1.007908,0.000085,1.534232,0.161406,220.394479,10.559796,1,,4.438000,0.000000,1,1.189470,0.106891,1.974088,0.429755,1876.180909,5795.290000,44.580400,2928.328886,0.795608,False,2,4,1,1,4,4,4,2018-09-05T18:51:57+00:00,2019-10-17 00:41:41.937002+00:00
qlp,322307342,117.01,PC,15.005896,-58.904780,11.734000,0.019000,1328.480900,0.001330,3.585500,0.000380,3.173000,0.123000,6242.330000,3.880000,1,HATS-68,3.710000,0.080000,1,1.760000,0.060000,15.260600,0.655196,1416.000000,6075.000000,108.300000,668.223000,49.000000,False,3,4,3,3,4,4,4,2018-09-05T18:50:25+00:00,2019-10-17 00:41:50.347463+00:00
spoc,350743714,165.01,PC,88.885933,-57.290593,9.789000,0.024000,1388.296648,0.000774,7.761780,0.001112,3.494972,0.066196,4399.776458,75.229034,3,known brown dwarf; discovered by WASP; one of transits is in gap,3.960000,0.110000,1,1.874260,0.281329,13.744672,2.071529,1283.020892,6038.000000,54.000000,640.406770,65.968254,False,5,5,5,5,5,5,5,2018-11-30T22:06:25+00:00,2019-10-18 15:42:09.033460+00:00
