radius_bin,insol_bin,st_Teff_bin,Effective Stellar Flux Value,Effective Temperature Value,Full TOI ID,K_amp,Orbital Period Value,Planet Equilibrium Temperature (K) Value,Planet Radius Value,Source Pipeline,TSM,TSM_Vmag_priority,V mag,X,X_priority,mass_flag,t_HIRES
3.0,3.0,3.0,78.20861623530166,5320.0,TOI-125 c,2.2453396510861867,9.15059,,2.759,,73.88207767971839,,10.892,0.013485667812255856,,1.0,5478.562775554497
3.0,4.0,2.0,863.7190514240856,4285.0,K2-266 b,10.625100597196578,0.658524,,3.3,,209.18062800391968,3.0,11.808,0.3677535128176584,2.0,1.0,568.8066074507813
3.0,4.0,2.0,114.93582486873414,4456.0,K2-55 b,8.024215814375037,2.8492580000000003,,3.82,,94.32276782861072,,13.546,0.019080555038417813,,1.0,4943.397487059271
3.0,4.0,2.0,238.3945021636311,4781.0,Kepler-94 b,5.881803066767312,2.50806,,3.51,,73.63947259318175,,12.857,0.015097355949331691,,1.0,4877.64035241161
3.0,4.0,3.0,192.65219229065292,5320.0,TOI-125 b,4.030620979075788,4.65382,,2.7260000000000004,,61.33267264676004,,10.892,0.036074895210268645,,1.0,1700.1483244586618
3.0,4.0,3.0,146.15958500570125,6226.0,HIP 41378 b,2.0215552699941988,15.572098,,2.9,,54.96736230491082,,8.93,0.049550198941509596,,1.0,1109.3267732344686
3.0,4.0,3.0,438.4675423593644,5908.0,K2-167 b,2.4491167212705234,9.977481,,2.819,,54.906414959976495,,8.238999999999999,0.1372812803687322,,1.0,399.9555861695054
3.0,5.0,3.0,2208.5752314266456,6168.0,K2-100 b,5.921707421003871,1.6738330000000001,,3.59,,87.93118309116389,,10.651,0.1393818019029573,,1.0,630.8655928582757
3.0,5.0,3.0,5876.723300389594,5519.0,K2-183 b,6.290072826802097,0.46926899999999994,,2.599,,49.306828993501185,,12.845999999999998,0.011678516720884442,,1.0,4222.011251251354
4.0,2.0,1.0,9.505958527840335,3789.0,K2-14 b,10.804749954011353,8.36802,,4.81,,44.88987887280305,2.0,16.31,0.001291062126686084,2.0,1.0,34769.72792008624
4.0,2.0,2.0,8.93778227410227,4826.33,HD 23472 c,4.308704543749124,29.625,,4.31,,175.37996218566502,1.0,9.724,0.34565486006572926,1.0,1.0,507.3846268277987
4.0,2.0,3.0,8.542698480820912,6226.0,HIP 41378 e,2.9535400122717324,131.0,,5.51,,56.050594069866236,1.0,8.93,0.10785373851083548,1.0,1.0,519.6907853521938
4.0,2.0,3.0,1.0476980312378286,5527.0,Kepler-453 b,1.7175593963759532,240.503,,6.204,,29.014014956220798,3.0,13.523,0.00027466329522993406,,1.0,105634.84622847676
4.0,3.0,1.0,32.80800241072688,3479.0,GJ 436 b,16.93675225380751,2.64388312,,4.17,,725.6125299117168,1.0,10.67,9.245583162450536,1.0,1.0,78.48207270025719
4.0,3.0,1.0,35.944026426934315,3600.0,GJ 3470 b,8.98599026383986,3.3366496,,4.57,,449.70187755896757,2.0,12.33,0.3496438183412853,2.0,1.0,1286.1713949137124
4.0,3.0,2.0,78.33500197432522,4780.0,HAT-P-11 b,11.597466816196125,4.88780244,,4.36,,253.78523817908183,1.0,9.151,6.14273670049543,1.0,1.0,41.31468603539743
4.0,3.0,2.0,17.805622883346423,4826.33,HD 23472 b,5.339411721045244,17.667,,4.42,,215.44279458520413,2.0,9.724,0.6520607527731365,3.0,1.0,330.4029473771449
4.0,3.0,3.0,83.91844834799954,5415.0,K2-32 b,5.620645096162379,8.991828,,4.96,,110.40188104501699,2.0,12.31,0.034207242488285654,,1.0,3227.4417057389046
4.0,3.0,3.0,26.395456007737582,5212.9,K2-198 b,4.708297547429241,17.042868300000002,,4.189,,80.92974706194705,,10.970999999999998,0.060395593165016824,,1.0,1339.9942416464967
4.0,3.0,3.0,52.352811222322686,5625.0,K2-24 b,4.2244520032872925,20.889770000000002,,5.4,,77.45622029461471,,11.07,0.04247822167638129,,1.0,1823.4336852590482
4.0,4.0,2.0,146.8716492215073,4910.0,WASP-156 b,18.699766334943188,3.8361690000000004,,5.7170000000000005,,120.28654562845276,,11.6,0.7933387705133429,2.0,1.0,151.62065702476556
4.0,4.0,2.0,143.37223999025022,4962.28,V1298 Tau c,7.943697705898553,8.24958,,5.59,,97.19421842999012,,10.116,0.45379020324315433,5.0,1.0,214.18315718444578
4.0,4.0,3.0,230.98412467557984,5827.0,Kepler-105 b,1.9121205055613208,5.4122,,4.81,,172.26227219912877,3.0,12.802,0.003926358541465191,,1.0,43873.291341051605
4.0,4.0,3.0,222.74230894363492,5527.0,HD 219666 b,6.174218069131017,6.03607,,4.71,,171.5696486362389,,9.65,0.7433163006318676,,1.0,230.81647542290335
4.0,4.0,3.0,102.85654503659596,6327.0,HD 106315 c,3.329231530322456,21.05704,,4.35,,87.90327584043072,,8.951,0.21079597995482058,,1.0,417.0064147298769
5.0,1.0,1.0,0.5591739642161149,3724.0,Kepler-1628 b,7.602141248064917,76.378033,,6.43,,18.264419154688724,1.0,16.953,0.00014382917871700826,1.0,1.0,126986.88345168794
5.0,1.0,2.0,0.3546947264234347,4450.0,Kepler-16 b,14.196089963614495,228.77599999999998,,8.449,,52.97139271434531,1.0,11.747,0.17585233665994862,1.0,1.0,301.2265501866934
5.0,1.0,3.0,0.5104083405842753,6226.0,HIP 41378 f,4.156060889011633,1084.0,,10.2,,61.76582378554121,1.0,8.93,0.23533217435604403,1.0,1.0,262.4623001701972
5.0,2.0,2.0,9.571335468644453,4926.0,Kepler-486 b,20.23214034189011,30.36044667,,11.0,,55.23268684067976,1.0,14.38,0.03294952014862111,1.0,1.0,1676.2819789650614
5.0,3.0,1.0,42.835465786480796,3724.0,HATS-6 b,63.29614093254182,3.3252725,,11.187,,198.3197541955485,,15.16,0.5645334847340155,3.0,1.0,351.29847840467505
5.0,3.0,2.0,39.650046346310155,4599.0,K2-141 c,3.010029777072704,7.7485,,7.0,,1683.5076660381835,1.0,11.389,0.3494024519488317,,1.0,4818.2480021197025
5.0,3.0,2.0,49.108783458594544,4430.0,WASP-107 b,17.494070653343044,5.72149,,10.536,,1118.826317265002,2.0,11.470999999999998,7.2730017471284425,4.0,1.0,153.8328129381712
5.0,3.0,3.0,20.410926666348097,5625.0,K2-24 c,2.705628586475591,42.3391,,7.5,,202.3123385112933,3.0,11.07,0.04551221725837886,,1.0,4445.231427920539
5.0,3.0,3.0,67.68630669128554,5314.0,WASP-84 b,77.69537469554521,8.5234865,,10.559,,147.78965916895123,,10.83,34.1982312466075,1.0,1.0,4.321558565506575
5.0,3.0,3.0,99.99674589586945,5430.0,K2-19 b,9.613377243516627,7.9194,,7.74,,130.61323467277762,,13.0,0.062705902263182,,1.0,2082.949610143281
5.0,3.0,3.0,73.94673043963965,5695.0,K2-287 b,25.07388367174718,14.893291,,9.494,,101.9798208493746,,11.41,1.440544650956179,,1.0,70.79254418228845
5.0,4.0,2.0,139.40196364976464,4650.0,HAT-P-12 b,35.90757534100428,3.2130598,,10.749,,396.0297916095185,3.0,12.84,3.073755254556509,,1.0,128.84233089880766
5.0,4.0,2.0,159.45387389035284,5079.0,HAT-P-26 b,8.168269040511866,4.23452,,7.062,,288.88172839896606,2.0,11.744000000000002,0.31838266054626485,,1.0,907.3412726161575
5.0,4.0,2.0,149.099233480838,4800.0,WASP-29 b,35.34407488226169,3.9227300000000005,,8.631,,276.42982234164805,1.0,10.893,12.490717844454103,,1.0,22.13081952406629
5.0,4.0,3.0,433.7464622069557,6050.0,WASP-166 b,10.409772999172269,5.4435400000000005,,7.062,,266.8493857924364,1.0,9.257,4.719739098412608,,1.0,56.539012057294855
5.0,4.0,3.0,117.36947143167995,5310.0,WASP-139 b,13.917498380781193,5.924262000000001,,8.967,,257.14571291526147,3.0,12.4,0.44964618529436123,,1.0,571.8845646314576
5.0,4.0,3.0,809.381894454066,5800.0,WASP-126 b,36.067201310829894,3.2888300000000004,,10.761,,175.99919113484574,,10.8,9.022041611011346,,1.0,19.50769002439978
5.0,4.0,3.0,514.873466474767,5307.0,XO-2 N b,85.35110160707033,2.61586178,,11.130999999999998,,164.23114402369168,,11.138,34.53369475739701,3.0,1.0,4.7556783361129895
5.0,4.0,3.0,182.18564711672911,5304.0,HATS-5 b,29.88506935262868,4.763387000000001,,10.223,,159.62727750495253,,12.63,1.0413216763885875,,1.0,153.29295560095957
5.0,4.0,3.0,795.7131878800062,5638.0,WASP-182 b,19.08012485036035,3.3769848,,9.528,,142.93485726441827,,11.917,0.7329423947460602,,1.0,195.0151311876841
5.0,4.0,3.0,233.1054835289987,5576.0,HD 89345 b,8.906972247628229,11.8143,,7.398,,135.26238213115576,,9.376,1.5696632703717335,,1.0,86.17286566125894
5.0,5.0,3.0,1311.9694838760113,6179.0,HD 149026 b,43.063832920256594,2.87589,,8.295,,198.39146903101133,,8.15,166.4629639085713,1.0,1.0,1.1918054585401743
