radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank
2,3,2,spoc,1430.01,2.229178,7.434007,5064,72.54644,744.344144,0,9.19,2.053197744,97.36625675,1366.372702,0.07125893,2,2,1430.01,293954617,235088,PC,passed,passed,,yes,
2,5,2,spoc,1436.01,1.717836,0.867492,5011.22,1118.225214,1474.864321,0,12.006,2.73677176,45.03015584,10288.53583,0.004376731,2,3,1436.01,154383539,T001436,CPC,passed,passed,yes,no,
4,3,3,spoc,1439.01,4.32719,27.646255,5873,84.289077,772.791923,0,10.55,3.525772762,22.74678885,1621.519207,0.014028072,,,1439.01,232982558,T001439,PC,passed,,wait,no,
2,4,2,spoc,1446.01,2.224311,6.31719,5180,108.319231,822.803522,0,11.577,2.11350731,32.66159095,11620.45746,0.002810698,,,1446.01,294471966,T001446,PC,passed,,,,
2,4,2,spoc,1466.01,2.491658,1.871529,4201,233.936214,997.456843,0,12.189,4.650963186,56.8963303,4216.430343,0.013493957,,,1466.01,237086564,T001466,PC,passed,,,,
2,3,1,spoc,1467.01,1.827003,5.973384,3834,18.079169,525.913556,0,12.293,2.277147971,61.00218825,19357.45371,0.003151354,,5,1467.01,240968774,T001467,PC,passed,,,,
2,2,1,spoc,1468.01,2.333273,15.531925,3382,2.140013,308.477758,0,12.5,3.097830066,88.32302789,12656.55623,0.006978441,,2,1468.01,243185500,T001468,VPC,passed,,yes,,
1,3,1,spoc,1468.02,1.452351,1.880305,3382,35.733782,623.576148,0,12.5,2.797071107,14.53652196,15524.71798,0.000936347,,3,1468.02,243185500,T001468,VPC,passed,,yes,,
4,3,3,spoc,1471.01,4.282738,20.772024,5625.56,81.617867,766.595136,0,9.2,3.969217285,102.6214883,368.9954288,0.278110459,1,3,1471.01,306263608,12572,PC,passed,,yes,yes,
4,4,2,spoc,1472.01,4.307598,6.364103,5103,110.004112,825.984655,0,11.302,6.590384012,71.84524528,927.7037066,0.077444172,,,1472.01,306955329,T001472,VPC,passed,,,,
2,4,3,spoc,1473.01,2.49336,5.255294,5958,299.625751,1061.120081,0,8.844,2.362245073,97.25843389,750.5520752,0.129582526,3,3,1473.01,352413427,6061,PC,passed,,yes,yes,
2,4,3,spoc,1669.01,2.248112,2.679485,5550,692.189753,1308.205712,0,10.218,2.665380283,52.04444941,2089.8368,0.024903595,,,1669.01,428679607,T001669,PC,passed,,,,
3,5,3,spoc,1681.01,3.26185,1.537559,5672.5,1160.699357,1488.674282,0,10.97,5.910641209,86.45972529,849.4963929,0.101777625,3,3,1681.01,321041369,T001681,PC,passed,passed,,,
3,4,3,spoc,1686.01,3.717241,6.702137,6141,505.62713,1209.420544,0,10.411,4.110962433,41.10652596,1049.406422,0.039171216,,,1686.01,102672709,T001686,PC,passed,,,,
3,3,3,spoc,1691.01,3.746702,16.731638,5759,59.350052,707.905076,0,10.134,3.330110484,62.19682432,1239.120234,0.050194342,,,1691.01,268334473,T001691,CPC,passed,,,,
1,3,1,spoc,1693.01,1.478547,1.766881,3474,57.012676,700.829873,0,12.962,2.489025205,11.49098804,30003.51557,0.000382988,,,1693.01,353475866,T001693,VPC+,passed,,,,
4,4,2,spoc,1694.01,5.480027,3.77013,5058,195.28817,953.419593,0,11.446,11.92651542,116.0485018,323.4473415,0.358786383,2,4,1694.01,396740648,T001694,VPC,passed,,,,
2,3,1,spoc,1695.01,2.085673,3.131463,3575,34.59537,618.549191,0,12.989,3.421725092,68.35744146,16275.73105,0.004199961,,2,1695.01,422756130,T001695,PC,passed,passed,,,
4,5,2,spoc,1713.01,4.65369,0.557201,5097.6,3415.825831,1949.816221,0,11.436,16.90635223,156.0775983,159.4890635,0.978610037,2,1,1713.01,15863518,T001713,PC,passed,,,,
3,4,3,spoc,1716.01,2.741667,8.088417,5878.6,251.439553,1015.61276,0,9.406,2.44918298,52.70939764,1171.624024,0.044988321,,,1716.01,14336130,237566,PC,passed,,,yes,
4,4,3,spoc,1722.01,4.431151,9.606666,6137,175.792796,928.688394,0,10.025,4.884008778,74.88226049,521.0481548,0.143714664,,,1722.01,85242435,T001722,PC,passed,,,,
3,3,3,spoc,1723.01,3.15697,13.716057,5777,91.580168,788.987475,0,9.664,2.652551656,58.42112443,1266.785353,0.046117619,,,1723.01,71431780,T001723,PC,passed,,,yes,
2,4,3,spoc,1727.01,2.27447,1.832792,5566,989.31202,1430.385408,0,10.312,3.077453542,61.93622204,1709.415836,0.03623239,,5,1727.01,241225337,T001727,PC,passed,,,,
4,3,2,spoc,1728.01,4.699432,3.491567,3907,57.019625,700.851229,0,12.39,11.65389018,134.9152249,808.144258,0.166944482,1,1,1728.01,285048486,T001728,VPC+,passed,,,,5
2,3,1,spoc,1730.01,2.299128,6.222236,3691,16.411904,513.345186,0,12.23,3.149983731,79.0477069,9545.839154,0.008280855,1,1,1730.01,318022259,HIP34730,PC,passed,passed,,,
1,3,1,spoc,1730.02,1.440684,2.155669,3691,67.449404,730.91063,0,12.23,2.026154703,9.243456249,23072.01524,0.000400635,,,1730.02,318022259,HIP34730,PC,passed,passed,,,
3,3,1,spoc,1732.01,2.539205,4.121356,3876,44.215291,657.67733,0,12.889,3.874242892,49.86192347,11578.62648,0.004306376,,,1732.01,470987100,T001732,PC,passed,,,,
3,4,3,spoc,1736.01,3.702256,7.074152,5656,349.144817,1102.481091,0,8.953,4.437209045,86.14251493,235.1857232,0.366274422,,3,1736.01,408618999,T001736,PC,do observe,,,,
4,3,3,spoc,1744.01,4.333054,22.342014,6179,62.906016,718.27838,0,9.543,3.536877208,65.54003035,637.3687541,0.102829061,,4,1744.01,229455001,T001744,PC,do observe,,,,
3,3,2,spoc,1750.01,2.524305,11.337809,4765,33.350268,612.907001,0,12.645,2.359794104,22.78038538,24927.71728,0.000913858,,,1750.01,237099296,T001750,PC,passed,,,,
3,4,3,spoc,1753.01,2.963485,5.384942,5700,237.977234,1001.73674,0,11.831,3.2958386,33.77123921,6038.079993,0.005593043,,,1753.01,289580577,T001753,PC,passed,,,,
2,4,2,spoc,1757.01,2.07957,2.125617,4428,209.890671,970.773771,0,12.166,3.173294028,41.90994896,8867.681887,0.004726145,,,1757.01,367753709,T001757,PC,do observe,,,,
3,3,2,spoc,1758.01,3.380949,20.703854,5169,20.751601,544.355547,0,10.794,2.89492177,54.54974123,3011.321116,0.018114887,,,1758.01,367858035,T001758,PC,do observe,,,,
3,2,2,spoc,1759.01,3.234794,37.696127,3960,2.486239,320.262031,0,11.93,2.808929776,64.30049248,9106.447122,0.007060986,3,2,1759.01,408636441,T001759,PC,do observe,,,,
5,3,3,spoc,1775.01,8.07481,10.240374,5251,60.479059,711.247913,0,11.648,15.86499126,122.3231216,220.1664092,0.555593935,3,,1775.01,9348006,T001775,PC,do observe,,,,
3,4,3,spoc,1778.01,2.829971,6.515951,6023,414.067919,1150.502709,0,8.99,2.678129099,64.38338268,667.9865486,0.09638425,,,1778.01,39699648,77946,PC,do observe,,,,
3,3,2,spoc,1782.01,2.564396,4.987638,4336,56.046247,697.840843,0,12.329,3.453401202,45.42040934,8700.348766,0.005220527,,,1782.01,160045097,T001782,PC,do observe,,,,
