toi,tic,cps_name,tic_jump,toi_jump,evol,source,disp,photo_vetting,spec_vetting,ao_vetting,ra,dec,tmag,tmag_err,vmag,jmag,nobs,last_observed,rms,errvel,template,nobs_goal,tottime,remaining_nobs,remaining_time,n_comments,last_comment,rs,rs_err,r_s,m_s,teff,teff_err,t_eff,logg,logg_err,feh,ast_det_c,current_sectors,ast_det_t,total_sectors,color,spectral_type,vsini,prot,sval,logrhk,jitter,activity,ruwe,rp,rp_err,mp,k,kerr,ksig,epoch,epoch_err,period,period_err,duration,duration_err,b_est,circ_dur,circ_dur_err,max_circ_dur,a_to_R,depth,depth_err,teq,sinc,SNR,dist,prv,ra_J2000,dec_J2000,tks_comments,toi_comments,comment_list,npl,in_other_programs,in_SC1A,in_SC1B,in_SC1C,in_SC1D,in_SC1E,in_SC2A,in_SC2Bi,in_SC2Bii,in_SC2C,in_SC3,in_SC4,in_TOA,in_TOB,SC3_bin_rank,TSM,priority
266.01,164767175,HIP8152,164767175,266,MS,spoc,PC,passed,passed,-,26.2096,-18.4009,9.433,0.019,10.07,8.847000000000003,33,88,5.26,1.38,True,60,8.48,27,6.4520574143456235,8,180,0.93,0.09,0.92,1.04,5784.0,55.0,5784,4.438,0.0,-0.08,0.0507,1,0.0507,1,0.81,G5,0.28,8.66,0.138,-5.162000000000001,2.02,436.81,0.92,2.41,1.94,6.38,1.8,0.41,4.4,1393.0787,0.0035,10.767807000000001,0.004925,3.4,0.76,0.3656,3.12,0.82,3.64,22.61,650.61,76.33,815.979892,104.770454,9.309046,101.69,False,01 44 50.3,-18 24 03,"2 planet candidates, ""period ambiguous for .01 and .02; unclear which transit belongs to which candidate; will not be observed again in nominal mission"". SpecMatch analysis looks good. clear field",period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission,"July 2019 meeting assessment: For now observe.  Worry later about period uncertainty.  Also revisit the photometry / individual transits, July 2019 meeting assessment: For now observe.  Worry later about period uncertainty.  Also revisit the photometry / individual transits, ExoFOP-TESS says ""period ambiguous for 0.01 and 0.02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission""., ExoFOP-TESS says ""period ambiguous for 0.01 and 0.02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission""., This target is T000266
266.01:
Radius Planet = 2.6 R⊕
Period = 10.8 days
266.02:
Radius Planet = 1.9 R⊕
Period = 6.2 days, This target is T000266
266.01:
Radius Planet = 2.6 R⊕
Period = 10.8 days
266.02:
Radius Planet = 1.9 R⊕
Period = 6.2 days, The fit so far gives quite a high mass (19 +- 4.9 M⊕) and density (6 +- 1.5 g/cm^3) for planet c (which has Rp = 2.6 R⊕).  Ryan's plot of Evan's sample (attached; this planet is not included) shows that a planet with these parameters is on the upper end of the density distribution and is not a new planet type or a wild outlier.   Also, defying my intuition, with 6 +- 1.5 g/cm^3 it still is modeled best with a ~1% H/He atmosphere., The fit so far gives quite a high mass (19 +- 4.9 M⊕) and density (6 +- 1.5 g/cm^3) for planet c (which has Rp = 2.6 R⊕).  Ryan's plot of Evan's sample (attached; this planet is not included) shows that a planet with these parameters is on the upper end of the density distribution and is not a new planet type or a wild outlier.   Also, defying my intuition, with 6 +- 1.5 g/cm^3 it still is modeled best with a ~1% H/He atmosphere.",2,5,1,1,0,0,1,0,0,1,0,1,0,0,0,4.0,48.271159774097825,58.0
266.02,164767175,HIP8152,164767175,266,MS,spoc,STPC,passed,passed,-,26.2096,-18.4009,9.433,0.019,10.07,8.847000000000003,33,88,5.26,1.38,True,60,8.48,27,6.4520574143456235,8,180,0.93,0.09,0.92,1.04,5784.0,55.0,5784,4.438,0.0,-0.08,0.0507,1,0.0507,1,0.81,G5,0.28,8.66,0.138,-5.162000000000001,2.02,436.81,0.92,1.76,2.87,3.75,1.27,0.5,2.57,1392.105,0.0044,6.1913199999999975,0.003482,3.42,1.16,-5.5895,2.6,0.69,3.03,15.64,345.24,62.79,981.2826789999999,219.12782799999997,8.478584,101.69,False,01 44 50.3,-18 24 03,"2 planet candidates, ""period ambiguous for .01 and .02; unclear which transit belongs to which candidate; will not be observed again in nominal mission"". SpecMatch analysis looks good. clear field",period ambiguous for .01 and .02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission,"July 2019 meeting assessment: For now observe.  Worry later about period uncertainty.  Also revisit the photometry / individual transits, July 2019 meeting assessment: For now observe.  Worry later about period uncertainty.  Also revisit the photometry / individual transits, ExoFOP-TESS says ""period ambiguous for 0.01 and 0.02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission""., ExoFOP-TESS says ""period ambiguous for 0.01 and 0.02; unclear which transits are attributed to which candidates; will not be observed again in nominal mission""., This target is T000266
266.01:
Radius Planet = 2.6 R⊕
Period = 10.8 days
266.02:
Radius Planet = 1.9 R⊕
Period = 6.2 days, This target is T000266
266.01:
Radius Planet = 2.6 R⊕
Period = 10.8 days
266.02:
Radius Planet = 1.9 R⊕
Period = 6.2 days, The fit so far gives quite a high mass (19 +- 4.9 M⊕) and density (6 +- 1.5 g/cm^3) for planet c (which has Rp = 2.6 R⊕).  Ryan's plot of Evan's sample (attached; this planet is not included) shows that a planet with these parameters is on the upper end of the density distribution and is not a new planet type or a wild outlier.   Also, defying my intuition, with 6 +- 1.5 g/cm^3 it still is modeled best with a ~1% H/He atmosphere., The fit so far gives quite a high mass (19 +- 4.9 M⊕) and density (6 +- 1.5 g/cm^3) for planet c (which has Rp = 2.6 R⊕).  Ryan's plot of Evan's sample (attached; this planet is not included) shows that a planet with these parameters is on the upper end of the density distribution and is not a new planet type or a wild outlier.   Also, defying my intuition, with 6 +- 1.5 g/cm^3 it still is modeled best with a ~1% H/He atmosphere.",2,5,1,1,0,0,1,0,0,1,0,1,0,0,0,,,58.0
272.01,268766053,-,-1,-1,MS,spoc,KP,-,-,-,31.9092,-20.6618,11.692,0.019,12.591,10.959000000000001,0,-1,,,False,60,33.5,60,33.5,0,-1,0.8,0.0,0.86,0.82,4953.0,0.0,4960,4.5569999999999995,0.0,,0.0501,1,0.0501,1,,-,,,,,,,0.87,11.74,0.15,317.83,155.82,0.3,527.8,1386.2317,0.0005,3.30968,0.000124,2.28,0.04,0.3977,2.13,0.56,2.48,10.18,19306.43,247.68,964.896259,204.853549,69.82393,201.34,False,02 07 38.2,-20 39 42,-,WASP-53,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
288.01,47316976,-,-1,-1,MS,qlp,STPC,-,-,-,340.3077,-28.0327,8.972000000000003,0.006,9.359,8.513,0,-1,,,False,60,5.37,60,8.730242827052008,0,-1,2.02,0.09,2.02,1.35,6530.0,126.1,6530,3.96,0.09,,0.0504,1,0.0504,1,,-,,,,,,,1.3,8.56,0.53,54.94,,0.35,,1364.4606,0.002,,,6.2,0.87,,,,,,1570.0,2.39,-1.0,-1.0,22.0,215.39,False,22 41 13.9,-28 01 57,-,single transit,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
291.01,49710555,-,-1,-1,MS,qlp,PC,-,-,-,352.1644,-10.8596,12.302999999999999,0.006999999999999999,12.943,11.697000000000001,0,-1,,,False,60,33.5,60,33.5,0,-1,1.34,0.07,1.34,1.08,5920.0,125.6,5920,4.22,0.08,,0.05,1,0.05,1,,-,,,,,,,1.15,20.52,6.84,52296.22,12650.93,0.59,21483.95,1359.622,0.0033,12.07397,0.00381,3.63,0.29,0.7458,4.66,1.23,5.43,16.99,5600.0,2105.12,1144.0,284.467,16.0,551.16,False,23 28 39.5,-10 51 34,-,possible centroid shift,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
294.01,188570092,-,-1,-1,MS,qlp,VPC,-,-,-,339.0263,-16.9999,11.387,0.006,12.324000000000002,10.424000000000001,0,-1,,,False,60,26.79,60,26.78802785781719,0,-1,0.79,0.06,0.79,0.71,4521.0,122.6,4521,4.5,0.1,,0.05,1,0.05,1,,-,,,,,,,0.94,9.7,0.78,68.04,28.12,0.39,72.79,1358.7813,0.0011,7.328289999999999,0.00054,2.94,0.2,0.3403,2.67,0.71,3.12,17.97,14010.0,4.39,715.0,43.6076,72.0,127.59,False,22 36 06.3,-16 59 59,-,,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
295.01,327952677,-,-1,-1,MS,qlp,KP,-,-,-,359.0918,-13.2716,12.140999999999998,0.006999999999999999,12.798,11.522,0,-1,,,False,60,33.5,60,33.5,0,-1,1.27,0.07,1.27,1.06,5864.0,119.7,5864,4.26,0.08,,0.05,1,0.05,1,,-,,,,,,,0.96,13.5,0.81,317.83,129.99,0.45,288.77,1356.4043,0.0011,3.39656,0.00028,2.09,0.3,0.7843,2.92,0.77,3.4,7.63,9700.0,8.23,1280.0,445.745,50.0,488.39,False,23 56 22.0,-13 16 17,-,,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
303.01,145750719,-,-1,-1,SG,qlp,KP,-,-,-,341.3640000000001,-14.9918,12.020999999999999,0.006999999999999999,12.662,11.377,0,-1,,,False,60,33.5,60,33.5,0,-1,1.47,0.08,1.47,1.0,5659.0,126.3,5659,4.1,0.08,,0.05,1,0.05,1,,-,,,,,,,1.08,11.34,0.69,317.83,133.02,0.55,240.51,1357.5595,0.0019,3.5613300000000003,0.00058,3.76,0.24,0.3862,3.49,0.92,4.07,6.69,5940.0,3.72,1457.0,748.7510000000003,36.0,486.47,False,22 45 27.4,-14 59 30,-,,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
306.01,114749636,-,-1,-1,MS,qlp,KP,-,-,-,359.1915,-22.1532,11.761,0.006,12.681,11.174000000000001,0,-1,,,False,60,33.5,60,33.5,0,-1,1.34,0.06,1.34,1.07,5909.0,118.5,5909,4.21,0.07,,0.05,1,0.05,1,,-,,,,,,,1.08,12.34,0.62,317.83,116.76,0.34,341.6,1357.6704,0.0013,4.59971,0.0005,4.21,0.36,-1.1654,3.39,0.9,3.96,8.88,7620.0,1.36,1625.0,1158.76,53.0,436.1,False,23 56 46.0,-22 09 11,-,,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
329.01,169765334,-,-1,-1,SG,qlp,PC,-,-,-,351.3209,-15.6347,10.693,0.006999999999999999,11.262,10.075,0,-1,,,False,60,15.37,60,20.809534366098994,0,-1,1.61,0.08,1.61,0.98,5560.5,123.1,5560,4.01,0.08,,0.05,1,0.05,1,,-,,,,,,,1.02,10.84,3.85,82.1,29.78,0.27,108.75,1354.9488,0.0131,5.7018,0.00449,4.45,0.88,0.5264,4.51,1.19,5.26,8.28,1130.0,460.69,2154.0,3576.88,9.0,284.39,False,23 25 17.0,-15 38 04,-,,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
