# 2019-10-29 13:12:31
# This file was produced by the Exoplanet Follow-up 
# Observing Program (ExoFOP) operated by the NASA Exoplanet 
# Science Institute, California Institute of Technology.
#
# Search Parameters:
# Target in (387079085,406941612,136274063,361034196,451599528,426077080,343648136,270341214,144440290,70797900,47525799,47484268,2760710,47316976,201233610,201292545,124543547,381979901,128463355,130415266,146261607,405454160,219345200,458589703,55652896,279741379,309792357,350618622,144138509,388624270,382331352,129319156,28230919,69679391,142276270,147950620,154089169,154840461,154872375,158002130,158324245,159510109,230088370,233087860,258777137,287196418,349827430,375542276,458478250,16740101,148914726,198213332,232967440,232967666,320525204,341544930,459970307,229510866,294176967,359496368,13419950,16102323,41330864,254113311,79748331,273985865,23434737,30037565,50312495,389924075,399144800,451606970,453260209,467666275,141527965,150428703,177115354,248092710,287776397,294781547,294981566,319259194,349095149,360156606,364393429,374997123,382437043,295541511,89643259,24364065,69068526,92677094,203189770,99869022,288185138,302518439,101929303,1717732429,30329585,169177766,83210867,289539327,372757221,15247229,112026224,237185205,138361973,161450762,117256577,147576037,379931600,48188920,89510024,267489265,69997672,122220263,89389197,110428269,202563254,284450803,160268701,350995812,21755546,288391628,117789567,237184773,409934330,311890977,271581073,295599256,412014494,446549905,274151135,379286801,290348382,318608749,369864738,351603103,384513078,90919952,261369656,143257766,24094603,304774444,469782185,128790976,80166433,405862830,269450900,425721385,91576611,287156968,31858844,31858843,375225453,360630575,468148930,383390264,380783252,380589029,379240073,370133522,369960846,366989877,360742636,351601843,327301957,323132914,322270620,320004517,299799658,290348383,261108236,259863352,253990973,253728991,201642601,201604954,161032923,158297421,120247528,112395568,101230735,31553893,7088246,6663331,260647166,55652896,278683844,425997655,120896927,300871545,154716798,158170594,158561566,159107668,198212955,219698776,219850915,229781583,230127302,230127302,232540264,232612416,232976128,233059608,233120979,233211762,233684822,236714379,237222864,274762761,278348461,288132261,288735205,355867695,355867695,356311210,365938305,406672232,416195870,424865156,467179528,142394656,198186769,198241702,199688472,202504234,219015370,219852584,219854185,229536616,237104103,237200747,258777134,286923464,293687315,356867115,417948359,441797803,445859771,459969957,13499636,43064903,153949511,163539739,224297258,230017324,232971294,236445129,266593143,267561446,274662200,277507814,352764091,365733349,408203470,417676622,185405474,186000935,232679662,233735068,236815160,277014266,287190564,294179389,378159598,405904232,11111899,136848581,137284119,15565627,165523947,167092385,167098530,167403519,195199644,240450679,256886630,266688542,274942910,275111900,312083267,330332501,345996087,357457104,387664866,387664868,395171208,42123111,89759617,92783821,90504905,103633434,120757718,120960812,153951307,254113311,79748331,142276270,158276040)
# 
#
# 245 results (245 unique targets)

Target,RA,Dec,Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),V mag,J mag,H mag,K mag
165523947,316.813885,40.167172,8542,3.56466,2.13,10.697,9.696,9.621,9.534
167098530,318.627107,40.017017,5175,.873261,.88,10.104,8.579001,8.204001,8.107
177115354,103.754836,-69.867129,5668.15,.986943,1.01,12.118,10.884,10.518,10.473
185405474,301.717674,45.499227,6897,2.29289,1.5,10.262,9.463,9.294,9.261
186000935,303.072972,44.495878,5992,1.18131,1.104,10.281,9.226,8.916,8.872
198186769,245.818009,62.925121,6229,1.8109,1.2,11.516,10.345,10.114,10.083
198212955,248.553295,60.195927,4255,.711609,.665,12.777,10.53,9.903,9.772
198213332,248.433545,61.718334,5579,2.39803,.985,9.96,8.631,8.23,8.17
198241702,249.696640,64.559181,5517,.848906,.969,11.618,10.303,9.952,9.89
199688472,253.140330,57.974150,5786,1.46056,1.038,10.39,9.197,8.86,8.757
201233610,359.516588,-49.300838,5736,1.73225,1.02,13.615,12.34,11.998,11.965
201292545,2.900716,-56.599679,5728,1.6885,1.02,12.209,10.833,10.532,10.419
201604954,285.096517,-54.893341,5600,1.11375,.99,12.62,11.286,10.933,10.877
202504234,230.310094,63.565285,5923,1.1052,1.08,11.647,10.282,10.004,9.929
202563254,304.034336,31.925687,7947,1.82629,1.909,9.009,8.61,8.579001,8.539
203189770,304.800032,32.581045,8324,1.71135,2.053,10.484,10.149,10.121,10.09
219015370,223.092641,70.476557,5714,1.58143,1.02,11.314,10.337,10.012,9.964
219345200,74.752657,-49.736179,5709.6,1.4981,1.02,8.83,7.854,7.617,7.531
219698776,135.732641,71.636416,3489,.490729,.488819,13.427,9.731,9.093,8.878
219850915,256.279559,69.519093,4599,.720551,.728,11.929,10.075,9.53,9.422
219852584,256.672203,67.871503,6470,1.59715,1.32,11.303,10.341,10.123,10.08
219854185,256.770639,70.238481,5494,1.75475,.963,11.37,10.15,9.837,9.742
224297258,185.062873,56.201409,5477,.840608,.959,10.714,9.334,8.968,8.887
229510866,297.215817,64.354351,6122,1.92663,1.16,10.582,9.547,9.327,9.22
229536616,195.821133,67.823436,6292,1.3721,,11.019,10.132,9.893,9.803001
229781583,283.535530,69.633534,3692,.524555,.521792,14.37,10.863,10.222,10.013
230017324,291.465322,61.776153,4665,.746003,.74,11.5833,9.682,9.181,9.107
230088370,247.356680,71.505873,6612,1.57435,1.38,10.591,9.761,9.565,9.521
230127302,251.115870,70.429992,5141,.876154,.868,11.632,10.294,10.003,9.907
232540264,227.867864,71.841296,5711.85,1.07587,1.02,9.08,7.871,7.546,7.502
232612416,259.023592,63.105607,5227,.874131,.891,11.806,10.365,9.939,9.87
232967440,197.683097,70.768012,5322,.9554,.917,11.038,9.564,9.228,9.134
232967666,198.152378,71.618139,5807,1.14438,,10.947,9.809,9.514,9.456
232971294,199.442645,71.721051,6191,1.32349,1.19,10.294,9.156,8.93,8.872
232976128,200.561576,66.308533,5453,.999576,.952,11.089,9.536,9.204001,9.126
233059608,269.807391,64.142644,6603,1.58365,1.38,7.31,6.48,6.323,6.315
233087860,272.204520,60.678785,4534,.692384,.71,10.988,8.981,8.439,8.317
233120979,273.529238,62.858243,5273,.942541,,11.513,9.925,9.629,9.54
233684822,260.902889,64.862363,5641,1.45077,1,10.668,9.269,8.992,8.89
236445129,314.268523,31.661019,6430,1.41398,1.3,11.717,10.928,10.692,10.642
236714379,239.201466,65.888838,5451,1.0933,.952,11.646,10.042,9.668,9.558
237104103,241.322901,70.190040,5731,1.48668,1.02,11.889,10.385,10.105,10.012
237185205,283.526697,37.720014,6800,2.20829,1.46,10.218,9.34,9.171,9.113
237200747,293.032494,74.891073,5051,.828058,.843,12.256,10.633,10.22,10.122
237222864,296.244620,74.062858,5126,.865815,.86,9.92,8.386,8.008,7.923
240450679,323.527361,46.931774,9917,2.75421,2.54,10.129,9.868,9.862001,9.834
248092710,193.260548,-44.099360,6307,3.48687,1.24,10.16,9.118,8.888,8.821
253728991,282.140409,-40.111770,6027,1.23975,,12.093,10.915,10.632,10.556
253990973,284.688908,-41.242483,5801,1.08183,1.04,10.366,9.125,8.768,8.703
254113311,286.376004,-41.437640,4236,.741921,.66,11.595,9.055,8.493,8.351
256886630,329.385067,41.449509,9003,2.68092,2.273,8.33,8.105,8.099,8.051
258777137,286.747120,71.712377,5599,1.06469,,10.348,8.74,8.388,8.336
259863352,40.365939,-71.462749,5625,,,7.76,6.484,6.144,6.064
260647166,186.574063,-51.363052,5723.87,.864173,1.02,9.25,8.046,7.703,7.637
261108236,83.275809,-80.815478,4095,.649613,.64,13.217,10.715,10.106,9.941
261369656,292.604815,-46.278074,6456,2.06848,1.31,10.937,10.006,9.777,9.703
266593143,324.535978,30.488188,5336.96,.838682,.92,10.375,9.017,8.619,8.544
266688542,321.023810,46.384673,6854,1.78825,1.484,10.549,9.538,9.323,9.263
267489265,298.781281,54.781445,7880,1.86011,1.882,9.38,8.973,8.964,8.894
267561446,311.513651,56.867150,3855,.560391,.554506,14.182,11.296,10.708,10.497
269450900,292.195297,-36.000260,8688,2.64617,2.18,7.46,7.062,7.039,7.015
270341214,33.458853,-80.582711,6680,1.46863,1.41,9.32,8.454001,8.231,8.242
271581073,319.551469,-77.529113,5803.5,1.56013,1.04,11.254,10.064,9.798,9.779
273985865,30.508742,-83.227962,5547,.823019,.98,11.405,9.891,9.518,9.449
274151135,146.053969,-89.471513,4664,.755833,.74,11.329,9.446,8.91,8.762
274662200,316.867240,46.865373,3526,.53023,.527126,13.152,9.488,8.835,8.577
274762761,301.346363,38.228325,2972,.156193,.12784,17.2,11.55,10.966,10.69
274942910,322.926570,41.797465,4361,.668952,.68,11.033,8.959,8.379,8.192
277014266,306.425841,53.561615,6318,2.66768,1.245,11.044,10.078,9.831,9.736
277507814,310.953619,59.576628,6588,1.56661,1.372,10.599,9.684,9.467,9.401
278348461,303.195436,18.104778,6509,1.56954,1.336,10.403,9.46,9.322,9.247
278683844,99.238421,-58.016153,5130,.819657,.86,10.07,8.539,8.125,8.032
279741379,51.750188,-63.500166,4628.53,.705464,.73,8.08,6.081,5.524,5.375
284450803,290.708965,56.615386,7518,2.68133,1.735,8.812,8.226,8.078,8.08
286923464,203.509956,53.728188,5836.95,2.05106,1.05,8.05,6.861,6.608,6.543
287156968,118.129594,-83.825063,6083,1.15281,1.14,10.254,9.074,8.733,8.72
287190564,292.505170,54.108503,8807,2.13276,2.21,10.669,10.468,10.374,10.382
287196418,292.734132,59.403853,6982,1.63416,1.532,10.064,9.432,9.274,9.253
287776397,127.128017,-74.954728,6367,4.1956,1.27,8.92,7.927,7.653,7.568
288132261,209.484313,79.583322,6124,1.49192,1.157,9.634,8.589,8.378,8.35
288185138,222.841424,82.952258,6105,1.24389,1.149,10.911,9.785,9.504,9.435
288391628,266.962207,83.428826,6259,2.92296,1.217,8.86,7.863,7.641,7.584
288735205,282.100166,79.256476,4699,.765001,.751,12.079,10.226,9.715,9.619
289539327,251.633465,65.715035,6091,2.00656,1.143,10.605,9.366,9.116,9.038
290348382,328.710839,-77.337433,3469,.53475,.531332,12.49,8.192,7.641,7.325
290348383,328.718171,-77.338802,4815,.800152,.78,8.23,6.57,6.085,5.967
293687315,216.523825,59.444274,6840,1.90904,1.48,10.16,9.454001,9.272,9.21
294176967,300.805115,52.040842,7734,3.50078,1.82,10.461,10.006,9.955,9.909
294179389,300.838640,53.295620,5938,1.32298,1.084,11.16,9.965,9.592,9.545
294781547,71.484109,-68.761805,5455.96,1.01825,.95,11.13,9.733,9.37,9.31
294981566,72.332562,-67.368745,7160,1.58753,1.6,10.463,9.711,9.529,9.485
295541511,273.602061,-66.419974,5731,1.02422,1.02,11.016,9.770001,9.474,9.385
295599256,274.221618,-68.197779,8152,1.96177,1.99,10.062,9.639,9.536,9.507
299799658,38.120968,-78.023683,5232,.887336,.89,10.249,8.777,8.409,8.296
