radius_bin,insol_bin,st_Teff_bin,Source Pipeline,TIC,Full TOI ID,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Alerted,Updated,Stellar Mass,Target,RA,Dec,V mag,J mag,H mag,K mag,Ars,pl_masses,K_amp,TSM,radius_bin,insol_bin,st_Teff_bin,priority,highestp
1,4,2,,,EPIC 228952747.01,,-2.342222,,,,,1.055785,,,,,,,,,,,0.59,,1.52,,,4315.0,,339.1095167063343,,,,,0.6812897738318553,,,,12.850999999999999,10.270999999999999,,,6.509357123912915,2.9260957908697622,2.3775298627603734,45.856985169543364,1,4,2,3.0,3
1,4,2,,,Kepler-994 b,,47.407070000000004,,,,,1.15116651,,,,,,,,,,,0.54,,1.6,,,3934.0,,199.30432040129577,,,,,0.56,,,,,12.264000000000001,,,7.0575967816620615,3.1927,2.8723491468426787,20.463305961192717,1,4,2,0.0,0
1,4,2,,,EPIC 215171927.01,,-24.782837,,,,,4.135707,,,,,,,,,,,0.76,,1.6,,,4972.0,,158.2036906516694,,,,,0.6970357154400503,,,,13.074000000000002,11.378,,,12.653201448785818,3.192702191958362,1.6207734687654753,14.664282180620813,1,4,2,0.0,0
1,4,2,,,K2-191 b,,-12.806567999999999,,,,,2.858646,,,,,,,,,,,0.84,,1.579,,,5176.0,,313.2286296693979,,,,,0.9,,,,13.258,11.607999999999999,,,9.745503861025428,3.1218,1.5116124532713737,12.590135599875397,1,4,2,0.0,0
1,4,2,,,Kepler-167 b,,38.345413,,,,,4.3931632,,,,,,,,,,,0.73,,1.615,,,4890.0,,117.91042601782459,,,,,0.77,,,,,12.446,,,14.177122821054347,3.2438,1.510259782454799,9.140882908027688,1,4,2,0.0,0
1,4,2,,,Kepler-842 b,,49.653538,,,,,1.21956827,,,,,,,,,,,0.73,,1.6,,,4848.0,,623.6289371889173,,,,,0.78,,,,,13.538,,,6.05910642515231,3.1927,2.259141960357404,8.282662850203112,1,4,2,0.0,0
1,4,2,,,Kepler-895 b,,51.408891,,,,,2.80624233,,,,,,,,,,,0.61,,1.54,,,4315.0,,101.58783897660314,,,,,0.65,,,,,14.092,,,11.892885206314523,2.9918,1.8107803794866162,5.55600551942256,1,4,2,0.0,0
1,4,2,,,Kepler-928 b,,41.542828,,,,,3.9324613,,,,,,,,,,,0.7,,1.59,,,4700.0,,111.1358852255305,,,,,0.73,,,,,13.685,,,13.490096213142563,3.1589,1.5813075182568828,5.425069381225151,1,4,2,0.0,0
1,4,2,,,EPIC 201111557.01,,-6.268236,,,,,2.302368,,,,,,,,,,,0.71,,1.3130000000000002,,,4720.0,,276.475504765721,,,,,0.580957743030629,,,,11.728,9.873,,,8.625855036851396,2.28141595402171,1.5896458538261868,4.505598937305364,1,4,2,0.0,0
1,4,2,,,K2-36 b,,3.866393,,,,,1.422614,,,,,,,,,,,0.72,,1.43,,,4916.0,,517.9402264942872,,,,,0.79,,,,11.8,10.033999999999999,,,6.836446430284133,3.9,2.599369610202789,3.596779235237638,1,4,2,0.0,0
1,4,2,,,Kepler-80 d,,39.978778999999996,,,,,3.07222,,,,,,,,,,,0.68,,1.53,,,4540.0,,126.89881460007695,,,,,0.73,,,,,12.954,,,11.779569284037576,6.75,3.6687795155154994,3.469759622925469,1,4,2,0.0,0
1,4,2,,,Kepler-1019 b,,47.204449,,,,,1.41122985,,,,,,,,,,,0.67,,1.46,,,4433.0,,324.9222733685825,,,,,0.7,,,,,11.767000000000001,,,7.018627744593717,2.7325,1.9794570203325783,2.527894944361355,1,4,2,0.0,0
1,4,2,,,Kepler-1039 b,,45.315514,,,,,0.93488424,,,,,,,,,,,0.74,,1.46,,,4870.0,,922.2572752238369,,,,,0.79,,,,,12.424000000000001,,,5.027804303059151,2.7325,2.0947876943608432,1.9875283811976003,1,4,2,0.0,0
1,4,2,,,K2-270 b,,13.549833,,,,,1.543069,,,,,,,,,,,0.77,,1.38,,,4877.0,,490.3438261598017,,,,,0.85,,,,13.782,11.968,,,6.915150607959345,2.4828,1.5338557588161088,1.797233930803179,1,4,2,0.0,0
