radius_bin,insol_bin,st_Teff_bin,Full TOI ID,priority
4,4,3,1376.01,0.0
4,4,3,1616.01,0.0
4,4,3,1340.01,0.0
4,4,3,1592.01,0.0
4,4,3,855.01,0.0
4,4,3,1613.01,0.0
4,4,3,1526.01,0.0
4,4,3,1258.01,0.0
4,4,3,1602.01,0.0
4,4,3,1520.01,0.0
4,4,3,1672.01,0.0
4,4,3,938.01,0.0
4,4,3,1237.01,0.0
4,5,2,1713.01,2.0
4,5,2,980.01,1.0
4,5,3,680.01,1.0
4,5,3,1577.01,2.0
4,5,3,564.01,3.0
4,5,3,1657.01,0.0
4,5,3,1677.01,0.0
4,5,3,1597.01,0.0
4,5,3,1399.01,0.0
4,5,3,1367.01,0.0
4,5,3,1562.01,0.0
4,5,3,1304.01,0.0
4,5,3,1625.01,0.0
4,5,3,1394.01,0.0
4,5,3,1571.01,0.0
4,5,3,1513.01,0.0
4,5,3,1534.01,0.0
4,5,3,1505.01,0.0
4,5,3,1291.01,0.0
5,2,1,1632.01,3.0
5,2,1,1646.01,2.0
5,2,1,1278.01,1.0
5,2,1,482.01,0.0
5,3,1,507.01,1.0
5,3,1,529.01,3.0
5,3,1,519.01,2.0
5,3,1,737.01,0.0
5,3,1,530.01,0.0
5,3,1,633.01,0.0
5,3,2,1268.01,0.0
5,3,2,1412.01,0.0
5,3,2,294.01,0.0
5,3,2,1274.01,0.0
5,3,3,1173.01,2.0
5,3,3,1605.01,1.0
5,3,3,883.01,0.0
5,3,3,421.01,0.0
5,3,3,1670.01,0.0
5,3,3,1733.01,0.0
5,4,1,460.01,2.0
5,4,1,1638.01,1.0
5,4,2,1423.01,0.0
5,4,2,1264.01,0.0
5,4,3,1555.01,2.0
5,4,3,1703.01,3.0
5,4,3,1456.01,1.0
5,4,3,1135.01,0.0
5,4,3,1273.01,0.0
5,4,3,1194.01,0.0
5,4,3,1251.01,0.0
5,4,3,1711.01,0.0
5,4,3,1248.01,0.0
5,4,3,1478.01,0.0
5,4,3,239.01,0.0
5,4,3,963.01,0.0
5,4,3,1708.01,0.0
5,4,3,1491.01,0.0
5,4,3,1298.01,0.0
5,4,3,660.01,0.0
5,4,3,1294.01,0.0
5,4,3,892.01,0.0
5,4,3,343.01,0.0
5,4,3,1328.01,0.0
5,4,3,941.01,0.0
5,4,3,844.01,0.0
5,4,3,852.01,0.0
5,4,3,1267.01,0.0
5,5,2,1396.01,2.0
5,5,2,950.01,1.0
5,5,3,390.01,1.0
5,5,3,485.01,2.0
5,5,3,958.01,3.0
5,5,3,1254.01,0.0
5,5,3,387.01,0.0
5,5,3,1383.01,0.0
5,5,3,1600.01,0.0
5,5,3,329.01,0.0
5,5,3,1484.01,0.0
5,5,3,1316.01,0.0
5,5,3,648.01,0.0
5,5,3,979.01,0.0
5,5,3,1241.01,0.0
5,5,3,1510.01,0.0
5,5,3,1539.01,0.0
