fpl_name,rp,teff,sinc,mp,period,TSM
HAT-P-6 b,16.589000000000002,6570.0,1286.4695264900135,419.5356,3.85298,97.50910153122253
HAT-P-65 b,21.185,5835.0,2307.9512220706597,167.49641,2.6054552,152.43832765975424
HAT-P-66 b,17.822,6002.0,2167.1227654488266,248.86088999999998,2.972086,55.97593464324519
HAT-P-67 b,23.371,6406.0,2271.950060533148,108.0622,4.8101025,595.6771230906411
HAT-P-69 b,18.785999999999998,7394.0,2315.4587591385584,1137.8314,4.7869491,46.39841977246139
HAT-P-7 b,16.926,6389.0,4353.408,584.8072,2.20474,65.00796351234636
HAT-P-8 b,15.693,6200.0,1626.2606802844932,406.8224,3.07634,112.6016638897046
HAT-P-9 b,15.614,6350.0,931.0,238.05467000000002,3.92281072,87.80444374111049
HATS-1 b,14.594000000000001,5870.0,581.7956746421179,589.55,3.446459,50.11431877759899
HATS-10 b,10.862,5880.0,643.9274072028408,167.17858,3.312846,43.29184813132519
HATS-11 b,18.03,6563.0,1533.9367880879888,263.7989,3.619188,55.50832593568528
HATS-12 b,7.76,6357.0,1030.5680241566968,759.6137,3.142702,3.6857283484312733
HATS-13 b,13.585,5523.0,402.19441027617444,172.58168999999998,3.0440499,85.57496118366069
HATS-14 b,11.645999999999999,5346.0,434.8539362194065,340.39592999999996,2.7667641,24.61497837640947
HATS-15 b,12.386,5311.0,822.4729073743191,689.6911,1.74748753,12.438753359775944
HATS-16 b,14.572000000000001,5738.0,1067.0723214108211,1039.3041,2.686502,10.45330076697362
HATS-17 b,8.709,5846.0,72.7,425.25654000000003,16.254611,7.432517294425903
HATS-18 b,14.897,5600.0,2990.0,629.14449,0.83784,33.84356985262155
HATS-2 b,13.092,5227.0,1029.667878648609,427.463,1.354133,48.89249933945606
HATS-22 b,10.682,4803.0,89.95201497100659,870.8542,4.7228124,14.166100498198034
HATS-23 b,20.849,5780.0,1250.041155039604,467.2101,2.1605156,76.21589552129792
HATS-24 b,15.637,6125.0,2653.8513849620645,718.2958,1.3484978,45.05298717282602
HATS-25 b,14.123,5715.0,443.5248159862699,194.82979,4.2986432,75.72556880298839
HATS-26 b,19.616,6071.0,2261.0347654998823,206.5895,3.3023881,83.15207570153459
HATS-27 b,16.814,6438.0,1247.3690747233882,168.4499,4.637038,76.36179420283112
HATS-28 b,13.384,5498.0,406.4862673978358,213.58176,3.1810781,59.71905729317241
HATS-29 b,14.022,5670.0,354.70268832131876,207.54299,4.6058749,89.21828885387113
HATS-3 b,15.48,6351.0,1215.867178360537,340.382,3.547851,66.9800166887917
HATS-30 b,13.171,5943.0,664.5831166505607,224.38797999999997,3.1743516,87.64270265492851
HATS-31 b,18.383,6050.0,1846.5819400039973,279.6904,3.37796,55.29858774592524
HATS-32 b,14.0,5700.0,707.3050849793433,292.4036,2.8126548,30.878146422503374
HATS-33 b,13.787,5659.0,690.3590603466093,378.85336,2.5495551,80.60093928557521
HATS-34 b,16.029,5380.0,722.518880442175,299.07802999999996,2.1061607,74.85631254941065
HATS-35 b,16.41,6300.0,2820.401711945654,388.38826,1.8209993,66.95743718333527
HATS-36 b,12.92,5950.0,561.0,1022.14128,4.175186,6.092311335957116
HATS-39 b,17.598,6572.0,1217.4515602609874,200.2329,4.5776348,84.37638254829349
HATS-4 b,11.433,5403.0,504.42451539831893,420.471,2.516729,24.474352887327623
HATS-40 b,17.71,6460.0,3199.539705145564,505.3497,3.2642736,16.86367309593967
HATS-41 b,14.908,6424.0,1316.5471861757724,3082.951,4.193649,3.1462405369532833
HATS-42 b,15.693,6060.0,1952.7135932381677,597.5204,2.292102,19.495523405077993
HATS-43 b,13.227,5099.0,162.42840262060986,82.95363,4.3888497,187.9652759799328
HATS-44 b,11.96,5080.0,324.49521609130494,177.9848,2.7439004,52.19253041614223
HATS-45 b,14.415,6450.0,879.0785770110186,222.481,4.1876244,46.07325025399175
HATS-46 b,10.122,5495.0,204.76772697034363,54.984590000000004,4.7423729,106.40671591272913
HATS-47 b,12.52,4512.0,87.73,117.27927,3.9228038,111.48981258886592
HATS-48 A b,8.967,4546.0,137.6,77.23269,3.1316666,73.34327733183218
HATS-49 b,8.575,4405.0,80.45,112.19398999999999,4.1480467,31.955256150471364
