Planet Radius Value,Stellar Mass,Orbital Period Value,Star Radius Value,Effective Temperature Value,J mag,TIC Declination,Effective Stellar Flux Value,pl_masses,mass_flag,Ars,K_amp,TSM,Full TOI ID
6.388999999999999,1.08,6.71837,0.79,5970.0,12.519,9.257431,132.26,47.6745,1.0,19.46491902691087,15.375627693738652,30.233554393564727,CoRoTID 223977153 b
5.76,1.17,19.49221,1.39,6069.0,9.144,19.402252,105.43023064854296,27.0,1.0,23.112683397461172,5.788108714158798,55.77619457624317,EPIC 211945201 b
1.82,0.97,0.571331,0.98,5617.0,10.77,10.794699000000001,4293.0,7.72,1.0,2.9276479893094667,6.082153803218567,16.681890059826763,EPIC 220674823 b
2.73,0.97,13.339079,0.98,5617.0,10.77,10.794699000000001,64.0,5.8,1.0,23.915395149261677,1.5987801208786467,26.21977658585429,EPIC 220674823 c
11.780999999999999,1.32,6.180235,1.59,6202.0,10.199,16.278742,642.0,953.49,1.0,9.78047636123938,276.59800446753627,9.980922359142783,EPIC 246851721 b
1.95,1.05,3.5951,1.71,5430.0,10.216000000000001,-16.724524,1037.0,8.75,1.0,5.8717848608506245,3.541838157311625,5.238101018933781,EPIC 249893012 b
3.67,1.05,15.624,1.71,5430.0,10.216000000000001,-16.724524,160.0,14.67,1.0,15.637151302657802,3.638790242760775,12.965576750767736,EPIC 249893012 c
3.94,1.05,35.747,1.71,5430.0,10.216000000000001,-16.724524,53.0,10.18,1.0,27.151211849574306,1.9162796854233963,17.54481765494335,EPIC 249893012 d
1.16,0.18,1.628931,0.21,3270.0,9.245,-47.156727000000004,19.33377684980784,1.66,1.0,15.668803280691176,2.8349323882336095,33.50392840170768,GJ 1132 b
2.847,0.15,1.58040456,0.22,3026.0,9.75,4.96392,18.293980326363666,6.26125,1.0,13.79375211602436,12.197232372804233,630.0553186459699,GJ 1214 b
1.193,0.38,0.5182349,0.39,3458.0,8.697000000000001,-56.456990000000005,233.31549696250207,2.09,1.0,5.044020680906526,3.177109524940475,20.133579487090888,GJ 1252 b
2.61,0.73,35.61253,0.69,4640.0,6.081,-63.4991,5.442813445448768,22.7,1.0,59.4597269119088,5.4516360937197375,53.61169720608127,GJ 143 b
